Date,Open,High,Low,Close,Adj Close,Volume
2013-01-18,96.430000,97.620003,96.089996,97.620003,83.726433,8330900
2013-01-22,96.389999,97.730003,96.050003,97.720001,83.812202,8330100
2013-01-23,97.480003,97.720001,96.599998,96.849998,83.066017,4971000
2013-01-24,96.000000,97.739998,96.000000,96.599998,82.851601,5816300
2013-01-25,95.919998,96.279999,94.660004,95.580002,81.976761,8902700
2013-01-28,98.059998,98.739998,96.430000,97.449997,83.580612,15997500
2013-01-29,97.919998,99.199997,97.720001,98.599998,84.566948,6961900
2013-01-30,98.830002,98.959999,98.250000,98.650002,84.609825,5681000
2013-01-31,97.989998,98.709999,97.900002,98.389999,84.386841,7154500
2013-02-01,99.000000,99.699997,98.949997,99.489998,85.330284,6138500
2013-02-04,98.760002,98.870003,97.910004,98.260002,84.275345,5765000
2013-02-05,98.580002,99.099998,98.320000,98.440002,84.429733,4178000
2013-02-06,97.870003,98.750000,97.360001,97.699997,83.795029,4489600
2013-02-07,97.419998,98.160004,95.209999,96.110001,82.431335,6210100
2013-02-08,96.099998,97.500000,96.099998,96.849998,83.066017,3934200
2013-02-11,96.959999,96.989998,96.300003,96.599998,82.851601,2739200
2013-02-12,96.669998,97.410004,96.669998,97.220001,83.383362,4149000
2013-02-13,97.089996,97.500000,96.019997,96.379997,82.662903,3718500
2013-02-14,96.059998,96.680000,95.680000,96.070000,82.397018,3586300
2013-02-15,96.260002,96.419998,95.290001,95.610001,82.002487,4377200
2013-02-19,95.739998,96.370003,95.129997,95.599998,81.993912,4368800
2013-02-20,95.000000,95.099998,93.050003,93.220001,79.952652,8570800
2013-02-21,92.760002,92.790001,90.570000,91.529999,78.503166,7193400
2013-02-22,91.989998,92.489998,91.050003,91.540001,78.511734,5851800
2013-02-25,91.809998,92.220001,89.080002,89.160004,76.470467,7540300
2013-02-26,89.589996,90.199997,88.500000,89.949997,77.148048,7114200
2013-02-27,90.059998,92.360001,90.059998,92.250000,79.120697,6147300
2013-02-28,92.489998,93.160004,92.230003,92.370003,79.223625,5446500
2013-03-01,91.540001,91.959999,90.129997,91.360001,78.357353,4924400
2013-03-04,90.610001,90.750000,89.190002,89.750000,76.976501,6350500
2013-03-05,90.489998,91.279999,89.989998,90.209999,77.371033,5352500
2013-03-06,90.970001,91.050003,89.410004,89.639999,76.882156,7135900
2013-03-07,89.900002,90.400002,89.269997,89.650002,76.890739,4738200
2013-03-08,90.430000,90.720001,90.010002,90.510002,77.628342,5084900
2013-03-11,90.489998,91.519997,90.099998,91.180000,78.202980,4846300
