Date,Open,High,Low,Close,Adj Close,Volume
2013-01-18,61.490002,61.689999,61.299999,61.529999,52.572903,3675300
2013-01-22,61.529999,61.680000,61.290001,61.490002,52.538731,2473200
2013-01-23,61.299999,61.580002,60.790001,61.040001,52.154236,3596600
2013-01-24,61.299999,62.130001,61.230000,61.860001,52.854870,4844000
2013-01-25,62.000000,62.119999,61.349998,61.540001,52.581451,4552100
2013-01-28,61.580002,61.650002,60.759998,61.130001,52.231144,3887000
2013-01-29,61.180000,61.720001,60.959999,61.340000,52.410564,3695400
2013-01-30,61.419998,61.520000,60.869999,60.980000,52.102966,3644800
2013-01-31,60.830002,61.180000,60.410000,60.410000,51.615940,5309700
2013-02-01,60.939999,61.560001,60.820000,61.150002,52.248222,4707900
2013-02-04,61.000000,61.099998,60.330002,60.849998,51.991890,4085200
2013-02-05,61.439999,62.660000,61.340000,62.400002,53.316257,6969600
2013-02-06,62.139999,62.849998,61.900002,62.689999,53.564037,6060000
2013-02-07,62.599998,62.869999,61.990002,62.299999,53.230804,6032900
2013-02-08,62.180000,63.009998,62.180000,62.490002,53.393154,4136600
2013-02-11,62.480000,62.669998,61.849998,62.669998,53.546951,3516900
2013-02-12,62.580002,62.840000,62.340000,62.730000,53.598225,3379400
2013-02-13,63.000000,63.279999,62.430000,62.689999,53.564037,4807100
2013-02-14,62.689999,63.330002,62.580002,63.090000,53.905807,5352200
2013-02-15,62.450001,62.599998,60.740002,61.709999,53.029293,14611300
2013-02-19,61.790001,62.060001,61.439999,61.869999,53.166782,6881500
2013-02-20,61.980000,63.209999,61.619999,62.650002,53.837067,6561200
2013-02-21,62.680000,63.880001,62.520000,63.400002,54.481560,7221800
2013-02-22,63.480000,63.889999,62.980000,63.599998,54.653423,5342900
2013-02-25,63.630001,63.799999,62.889999,62.889999,54.043301,6177100
2013-02-26,63.099998,64.300003,63.049999,64.050003,55.040119,8096600
2013-02-27,62.310001,63.750000,61.680000,63.119999,54.240952,13623700
2013-02-28,63.230000,64.089996,62.459999,62.959999,54.103447,8465700
2013-03-01,63.220001,64.389999,63.220001,64.129997,55.108871,6536100
2013-03-04,64.879997,66.919998,64.650002,66.440002,57.093922,12363500
2013-03-05,66.500000,66.839996,65.830002,66.680000,57.300163,5927600
2013-03-06,66.720001,66.900002,66.040001,66.120003,56.818947,4301900
2013-03-07,66.220001,66.250000,65.669998,65.849998,56.586922,4017900
2013-03-08,66.110001,66.470001,65.709999,66.349998,57.016575,3827600
2013-03-11,66.349998,67.370003,65.889999,67.339996,57.867321,4984400
2013-03-12,67.180000,67.559998,66.970001,67.110001,57.669682,4140300
2013-03-13,66.790001,67.480003,66.599998,67.430000,57.944664,3636200
2013-03-14,67.500000,67.500000,66.870003,67.339996,57.867321,3294000
2013-03-15,67.050003,67.290001,66.519997,66.800003,57.403282,5945700
2013-03-18,66.519997,67.059998,66.300003,66.760002,57.368916,3573400
2013-03-19,67.010002,67.190002,65.959999,66.459999,57.111111,4063000
2013-03-20,66.970001,68.870003,66.900002,68.519997,58.881340,7924900
2013-03-21,68.120003,68.269997,67.419998,68.050003,58.477451,4789600
2013-03-22,68.239998,68.750000,68.040001,68.419998,58.795395,3167100
2013-03-25,68.730003,68.889999,68.169998,68.410004,58.786816,4260200
2013-03-26,68.419998,68.769997,67.949997,68.610001,58.958672,3327400
2013-03-27,68.489998,69.839996,68.489998,69.050003,59.336777,4590800
2013-03-28,69.190002,69.430000,68.309998,68.449997,58.821171,3982000
2013-04-01,68.300003,68.830002,68.250000,68.660004,59.001644,2734100
2013-04-02,68.959999,69.110001,68.309998,68.830002,59.147732,2884500
2013-04-03,68.000000,68.559998,67.550003,67.980003,58.417301,6136300
2013-04-04,68.190002,68.830002,68.190002,68.790001,59.113358,3540300
2013-04-05,68.269997,68.889999,67.860001,68.849998,59.164909,3800300
2013-04-08,68.900002,69.489998,68.800003,69.260002,59.517242,2874200
2013-04-09,69.379997,69.459999,68.779999,68.919998,59.225067,2918700
2013-04-10,69.010002,69.239998,68.680000,68.860001,59.173508,3128100
2013-04-11,69.080002,69.910004,68.980003,69.120003,59.396927,3962900
2013-04-12,69.040001,69.709999,69.040001,69.489998,59.714886,2286200
2013-04-15,69.190002,69.660004,68.459999,68.480003,58.846954,3046400
2013-04-16,67.650002,68.680000,67.400002,68.379997,58.761021,7288400
2013-04-17,68.379997,68.930000,68.120003,68.760002,59.087582,4696400
2013-04-18,68.730003,68.849998,67.809998,68.290001,58.683689,3982200
2013-04-19,68.809998,69.220001,68.120003,69.040001,59.328182,4073600
